axis,dataset,x,size,n_cells,r,train_path_over_geo,shell,temperature,p_obs,success,valid,reached,len_ratio,len_over_geo,val_success,n_params,pos_linear,pos_relu_2500,pos_spline_2500,pos_gap_2500,pos_relu_10000,pos_spline_10000,pos_gap_10000,pos_sae,dir_linear,dir_relu_2500,dir_spline_2500,dir_gap_2500,dir_relu_10000,dir_spline_10000,dir_gap_10000,dir_sae
temperature,ring_T05,0.5,L6_d256,1926,0.25,1.454681158065796,0.0,0.5,0.0,0.994,0.996,0.995,0.8935728516749101,1.2998635906906137,0.99,5252864,0.6551894545555115,0.7440059185028076,0.7701177597045898,0.026111841201782227,0.8280725479125977,0.8568337559700012,0.028761208057403564,0.8851876854896545,0.12857858836650848,0.15602220594882965,0.13879306614398956,-0.017229139804840088,0.1886175274848938,0.14992932975292206,-0.03868819773197174,0.2247321456670761
p_obs,ring_r025,0.0,L3_d64,1926,0.25,1.0,0.0,0.0,0.0,0.987,0.989,0.995,1.0270824455543817,1.0270824455543817,0.986,276608,0.5278158783912659,0.7822299599647522,0.7409289479255676,-0.04130101203918457,0.8758528232574463,0.8821393847465515,0.006286561489105225,0.9173890948295593,0.19295088946819305,0.3579220771789551,0.30843257904052734,-0.049489498138427734,0.49827221035957336,0.4431636333465576,-0.05510857701301575,0.48304644227027893
p_obs,ring_r025,0.0,L6_d256,1926,0.25,1.0,0.0,0.0,0.0,0.995,0.996,0.999,1.0064598745283595,1.0064598745283595,0.997,5242112,0.6587861180305481,0.7227478623390198,0.7592213749885559,0.03647351264953613,0.7934265732765198,0.8341681361198425,0.040741562843322754,0.8364853858947754,0.24905067682266235,0.29775968194007874,0.30611559748649597,0.008355915546417236,0.3912823498249054,0.3616425096988678,-0.029639840126037598,0.44407495856285095
p_obs,ring_obs005,0.05,L3_d64,1926,0.25,1.0,0.0,0.0,0.05,0.978,0.979,0.996,1.0220560773149023,1.0220560773149023,0.979,276608,0.6784701347351074,0.8775463104248047,0.8666982650756836,-0.010848045349121094,0.9360185265541077,0.9439609050750732,0.007942378520965576,0.9429659843444824,0.202314555644989,0.41070425510406494,0.3606140911579132,-0.05009016394615173,0.5299587845802307,0.48586270213127136,-0.04409608244895935,0.5206486582756042
p_obs,ring_obs005,0.05,L6_d256,1926,0.25,1.0,0.0,0.0,0.05,0.957,0.958,0.996,1.0244528176230598,1.0244528176230598,0.942,5242112,0.7733920216560364,0.8342134952545166,0.8620028495788574,0.02778935432434082,0.902313232421875,0.9307095408439636,0.028396308422088623,0.918519914150238,0.26934078335762024,0.3505087196826935,0.3566361963748932,0.006127476692199707,0.4530492126941681,0.4171887934207916,-0.035860419273376465,0.5107400417327881
p_obs,ring_obs015,0.15,L3_d64,1926,0.25,1.0,0.0,0.0,0.15,0.949,0.952,0.997,1.007477597598644,1.007477597598644,0.939,276608,0.719491183757782,0.9057204127311707,0.8931457996368408,-0.012574613094329834,0.9490079879760742,0.9551717638969421,0.00616377592086792,0.9509509205818176,0.19275307655334473,0.4011804163455963,0.3542555570602417,-0.046924859285354614,0.49352025985717773,0.4591647684574127,-0.034355491399765015,0.4787460267543793
p_obs,ring_obs015,0.15,L6_d256,1926,0.25,1.0,0.0,0.0,0.15,0.905,0.905,0.997,1.01231587285892,1.01231587285892,0.895,5242112,0.7794556021690369,0.8372668623924255,0.873188316822052,0.035921454429626465,0.9105041027069092,0.9379191398620605,0.027415037155151367,0.9286511540412903,0.23014922440052032,0.325366348028183,0.3333819806575775,0.008015632629394531,0.4454086720943451,0.4134449064731598,-0.0319637656211853,0.5015540719032288
chain,chain_r025,0.25,L3_d64,1288,0.25,1.0,0.0,0.0,0.0,0.994,0.995,0.999,1.0266736474960516,1.0266736474960516,0.996,235776,0.578159511089325,0.884007453918457,0.8581511378288269,-0.025856316089630127,0.9384036064147949,0.9509134292602539,0.012509822845458984,0.9461174607276917,0.19149528443813324,0.5129852294921875,0.44702816009521484,-0.06595706939697266,0.6503210663795471,0.6194760799407959,-0.03084498643875122,0.6433704495429993
chain,chain_r025,0.25,L6_d256,1288,0.25,1.0,0.0,0.0,0.0,0.996,0.996,1.0,1.0104634472889242,1.0104634472889242,0.998,5078784,0.6034737825393677,0.7496986389160156,0.7710468173027039,0.021348178386688232,0.8376920223236084,0.859048068523407,0.021356046199798584,0.832524299621582,0.1563967913389206,0.28052249550819397,0.3076523244380951,0.027129828929901123,0.4434044063091278,0.43979987502098083,-0.0036045312881469727,0.5233533978462219
chain,chain_r045,0.45,L3_d64,1958,0.45,1.0,0.0,0.0,0.0,0.996,0.997,0.999,1.0145310240194891,1.0145310240194891,0.999,278272,0.4866444170475006,0.8031737208366394,0.7605341076850891,-0.04263961315155029,0.883979856967926,0.8890867233276367,0.005106866359710693,0.8960595726966858,0.16683506965637207,0.35743847489356995,0.2928737699985504,-0.06456470489501953,0.4702894985675812,0.42107954621315,-0.04920995235443115,0.45502111315727234
chain,chain_r045,0.45,L6_d256,1958,0.45,1.0,0.0,0.0,0.0,0.997,0.997,1.0,1.0120621253234459,1.0120621253234459,0.996,5248768,0.5939999222755432,0.705287516117096,0.7216131091117859,0.01632559299468994,0.7988279461860657,0.8285736441612244,0.02974569797515869,0.8090013861656189,0.19558513164520264,0.2764613628387451,0.27074968814849854,-0.005711674690246582,0.34683510661125183,0.30674341320991516,-0.04009169340133667,0.40286803245544434
